2026-01-22 14:11:45 | extract_products | INFO |   - Products with photos: 32,341 (98.1%)
2026-01-22 14:11:45 | extract_payments | INFO | PaymentsExtractor initialized with path: ./data/raw/olist_order_payments_dataset.csv
2026-01-22 14:11:45 | extract_payments | INFO | Starting payments extraction...
2026-01-22 14:11:45 | extract_payments | INFO |   - Orders with payments: 99,440
2026-01-22 14:11:45 | extract_payments | INFO |   - Orders with multiple payments: 2,961 (3.0%)
2026-01-22 14:11:45 | extract_payments | INFO |   - Unique payment types: 5
2026-01-22 14:11:45 | extract_payments | INFO |   - Payment types: credit_card, boleto, voucher, debit_card, not_defined
2026-01-22 14:11:45 | extract_payments | INFO |   - Total payment value: R$ 16,008,872.12
2026-01-22 14:11:45 | extract_payments | INFO |   - Average payment: R$ 154.10
2026-01-22 14:11:45 | extract_payments | INFO |   - Payment type distribution:
2026-01-22 14:11:45 | extract_payments | INFO |     �� credit_card: 76,795 (73.9%)
2026-01-22 14:11:45 | extract_payments | INFO |     �� boleto: 19,784 (19.0%)
2026-01-22 14:11:45 | extract_payments | INFO |     �� voucher: 5,775 (5.6%)
2026-01-22 14:11:45 | extract_payments | INFO |     �� debit_card: 1,529 (1.5%)
2026-01-22 14:11:45 | extract_payments | INFO |     �� not_defined: 3 (0.0%)
2026-01-22 14:11:45 | extract_payments | INFO |   - Installments stats: min=0, max=24, avg=2.9
2026-01-22 14:11:45 | extract_payments | INFO |   - Max payment sequential: 29 (indicates up to 29 payments per order)
2026-01-22 14:11:45 | extract_reviews | INFO | ReviewsExtractor initialized with path: ./data/raw/olist_order_reviews_dataset.csv
2026-01-22 14:11:45 | extract_reviews | INFO | Starting reviews extraction...
2026-01-22 14:11:45 | extract_reviews | INFO |   - Orders with reviews: 98,673
2026-01-22 14:11:45 | extract_reviews | INFO |   - Average review score: 4.09/5.0
2026-01-22 14:11:45 | extract_reviews | INFO |   - Review score distribution:
2026-01-22 14:11:45 | extract_reviews | INFO |     �� 1 stars: 11,424 (11.5%)
2026-01-22 14:11:45 | extract_reviews | INFO |     �� 2 stars: 3,151 (3.2%)
2026-01-22 14:11:45 | extract_reviews | INFO |     �� 3 stars: 8,179 (8.2%)
2026-01-22 14:11:45 | extract_reviews | INFO |     �� 4 stars: 19,142 (19.3%)
2026-01-22 14:11:45 | extract_reviews | INFO |     �� 5 stars: 57,328 (57.8%)
2026-01-22 14:11:45 | extract_reviews | INFO |   - Reviews with title: 11,568 (11.7%)
2026-01-22 14:11:45 | extract_reviews | INFO |   - Reviews with message: 40,977 (41.3%)
2026-01-22 14:11:45 | extract_reviews | INFO |   - Reviews with seller answer: 99,224 (100.0%)
2026-01-22 14:11:45 | extract_reviews | INFO |   - Sentiment breakdown:
2026-01-22 14:11:45 | extract_reviews | INFO |     �� Positive (4-5 stars): 76,470 (77.1%)
2026-01-22 14:11:45 | extract_reviews | INFO |     �� Neutral (3 stars): 8,179 (8.2%)
2026-01-22 14:11:45 | extract_reviews | INFO |     �� Negative (1-2 stars): 14,575 (14.7%)
2026-01-22 14:35:38 | transform_dim_date | INFO | DateDimensionBuilder initialized: 2016-09-01 to 2018-10-31
2026-01-22 14:35:38 | transform_dim_date | INFO | Building date dimension...
2026-01-22 14:42:17 | transform_dim_date | INFO | DateDimensionBuilder initialized: 2016-09-01 to 2018-10-31
